R,regime,strategy,B,B_over_R,dv_hohmann_bar,dv_bielliptic_bar,saving_bar,dv_saving_m_s,t_hohmann_days,t_bielliptic_days,time_ratio,extra_time_days,rb_km,rb_altitude_km,rb_over_lunar_distance,model_validity_flag
15.5,large_B_bielliptic,B/R=2,31.0,2.0,0.5362575500279885,0.5329808562644905,0.0032766937634979287,25.314951697479714,0.7447852776268149,5.535130500807991,7.4318473620278045,4.790345223181176,207022.2253,200644.08899999998,0.538559379032258,lunar_third_body_caution
15.5,large_B_bielliptic,2*B_crit,31.79374202301975,2.051209162775468,0.5362575500279885,0.532793664281352,0.0034638857466364747,26.761152152370265,0.7447852776268149,5.701039445455868,7.6546081356786075,4.956254167829053,212322.94271676362,205944.8064167636,0.5523489664848169,lunar_third_body_caution
15.5,large_B_bielliptic,B/R=3,46.5,3.0,0.5362575500279885,0.5299369891014049,0.006320560926583618,48.83114081025201,0.7447852776268149,9.062768690949165,12.168297310906555,8.317983413322349,310533.33795,304155.20165,0.8078390685483872,lunar_third_body_caution
15.5,large_B_bielliptic,B/R=5,77.5,5.0,0.5362575500279885,0.5265408932897041,0.009716656738284368,75.06856415171222,0.7447852776268149,17.694956790032982,23.75846746919625,16.950171512406165,517555.56325,511177.42695,1.3463984475806452,two_body_invalid
15.5,large_B_bielliptic,B/R=10,155.0,10.0,0.5362575500279885,0.5233218771134213,0.012935672914567209,99.93791261624946,0.7447852776268149,46.391250095838245,62.28808690158243,45.646464818211435,1035111.1265,1028732.9902,2.6927968951612904,two_body_invalid
15.5,large_B_bielliptic,B/R=20,310.0,20.0,0.5362575500279885,0.5214645209645853,0.014793029063403185,114.28740163978462,0.7447852776268149,126.20376017333909,169.4498588579449,125.45897489571229,2070222.253,2063844.1167000001,5.385593790322581,two_body_invalid
15.5,large_B_bielliptic,B/R=50,775.0,50.0,0.5362575500279885,0.5202631059499713,0.0159944440780172,123.56924646836984,0.7447852776268149,487.1915212339204,654.1368846418505,486.44673595629354,5175555.6325,5169177.4962,13.463984475806452,two_body_invalid
15.5,large_B_bielliptic,B/R=100,1550.0,100.0,0.5362575500279885,0.5198474186564871,0.01641013137150138,126.7807469976639,0.7447852776268149,1367.0814531968244,1835.5376969223869,1366.3366679191977,10351111.265,10344733.128700001,26.927968951612904,two_body_invalid
16.0,all_bielliptic,B/R=1.25,20.0,1.25,0.5362393885688164,0.53546621177573,0.0007731767930864164,5.973378833455723,0.7788943418454565,3.4696485353612743,4.454581769255811,2.6907541935158177,133562.726,127184.5897,0.3474576638917794,lunar_third_body_caution
16.0,all_bielliptic,B/R=1.5,24.0,1.5,0.5362393885688164,0.5343410837237776,0.001898304845038723,14.665848848794125,0.7788943418454565,4.200263439478608,5.3925971904312515,3.4213690976331512,160275.27120000002,153897.1349,0.4169491966701353,lunar_third_body_caution
