R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
11.955915397689024,2907.874751545852,243.2164041665868,19419183.934151836,19412805.797851834,50.51816840310051,6747.47963651703,two_body_invalid
11.957705126731533,2633.276634408384,220.21588645146264,17585380.28018446,17579002.143884458,45.74760738861722,5815.460498790016,two_body_invalid
11.95968162802159,2384.6270425047064,199.38883965920246,15924864.414512323,15918486.278212324,41.42784707209241,5012.308999281001,two_body_invalid
11.96186439270653,2159.473932994813,180.52987913084036,14421261.260836428,14414883.124536429,37.51628839967853,4320.200788568745,two_body_invalid
11.964274945987617,1955.5969721871452,163.45302837118277,13059743.128133064,13053364.991833065,33.97435777349913,3723.777199049264,two_body_invalid
11.96693705938951,1770.9856398206136,147.98988505008148,11826883.488064766,11820505.351764766,30.767126659897933,3209.804147102616,two_body_invalid
11.969876985181712,1603.819402468272,133.98796031519325,10710524.570267677,10704146.433967678,27.862967144296768,2766.8782229646545,two_body_invalid
11.973123715263721,1452.4497604453402,121.30917503121685,9699657.46915633,9693279.332856331,25.233240034225627,2385.1734400411997,two_body_invalid
11.976709267066894,1315.3839912346773,109.8284981210716,8784313.580303181,8777935.444003182,22.852012435752293,2056.2230189532056,two_body_invalid
11.980668999292398,1191.2704290889296,99.43271357879,7955466.295615357,7949088.159315357,20.695802017729857,1772.7313595099195,two_body_invalid
11.985041960598886,1078.8851356683087,90.01930399702977,7204941.988036958,7198563.851736957,18.743345442343802,1528.4120244423957,two_body_invalid
11.989871274678482,977.1198302408493,81.49543959695694,6525339.407781254,6518961.271481253,16.975388677890876,1317.8481363530386,two_body_invalid
11.995204565518437,884.9709604454345,73.77706279302505,5909956.69539652,5903578.55909652,15.37449712642175,1136.3720872770448,two_body_invalid
12.001094427042194,801.529805817536,66.7880592632819,5352725.291762039,5346347.155462039,13.924883693449633,979.9618890926886,two_body_invalid
12.007598941761163,725.9735164997471,60.459507352039196,4848150.09337561,4841771.95707561,12.612253104515116,845.1518627072663,two_body_invalid
12.01478225355188,657.556998759039,54.7289984023346,4391255.262731793,4384877.126431793,11.42366093322527,728.955682372812,two_body_invalid
12.022715200206942,595.6055672893879,49.540021315579025,3977535.159397354,3971157.023097354,10.347385950565437,628.8000659175988,two_body_invalid
12.031476011997599,539.5082918458999,44.841405269636965,3602909.9079270978,3596531.771627098,9.372814536751035,542.4676381427827,two_body_invalid
12.041151083136809,488.7119725947594,40.58681509936227,3263685.164429668,3257307.028129668,8.490336015685921,468.047698360713,two_body_invalid
12.05183582375053,442.7156847670032,36.73429436323255,2956515.685021881,2950137.548721881,7.691247879869618,403.8937986156066,two_body_invalid
12.063635600758866,401.0658388224092,33.245851590309975,2678372.33692988,2671994.20062988,6.967669971201561,348.5871904027134,two_body_invalid
